,ChildrenId,ResultBaseline,ResultRound1,ResultRound2,ResultEndline,Baseline to Round 1,Round 1 to Round 2,Baseline to Endline,Completing Result Baseline to Endline-Story/Comprehension Level,AtLeastAchievedSentence,ComprehensionAchieved,StoryAchieved,Baseline_Endline,Gender,AcademicYearId,Term,Year,Grade,Age,EoR1,EoR2,EoR3/Endline,ParentTypeId,BaselineClass,SchoolID,ClassID,IsActiveChildTable,IsCurrentChildrenAcademicTable,IsActiveSchool,IsActiveClass,CuCStatus,DeleteReasonId,AcademicYearName,AttendanceRate
2050,28835,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 3,13.0,Yes,No,Yes,3.0,No,148,2456,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2051,28892,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 1,16.0,Yes,No,Yes,3.0,No,149,2411,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8461538461538461
2052,28913,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 3,14.0,Yes,No,Yes,3.0,No,149,2411,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2053,28626,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 3,13.0,Yes,No,Yes,1.0,No,140,2395,True,True,True,False,True,6.0,2022-PPL-Literacy-CuC Cycle 1,0.9411764705882353
2054,31735,Word,null,null,Word,null,null,Stayed The Same,False,False,False,False,No Change,Male,25,2,2022,Grade 6,16.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9428571428571428
2055,34208,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,12.0,No,No,Yes,1.0,No,232,2764,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9302325581395349
2056,34229,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,14.0,No,No,Yes,1.0,No,239,2760,True,True,False,True,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9069767441860465
2057,31716,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Female,25,2,2022,Grade 4,14.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2058,31707,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 4,15.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9428571428571428
2059,31703,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 4,13.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2060,31731,Word,null,null,Word,null,null,Stayed The Same,False,False,False,False,No Change,Female,25,2,2022,Grade 5,15.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9696969696969697
2061,34418,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Female,25,2,2022,Grade 4,14.0,No,No,Yes,2.0,No,229,3093,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.975
2062,28624,Letter,Letter,null,Word,Stayed The Same,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 3,16.0,Yes,No,Yes,3.0,No,140,2394,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.7777777777777778
2063,30099,Word,null,null,Word,null,null,Stayed The Same,False,False,False,False,No Change,Male,25,2,2022,Grade 2,18.0,No,No,Yes,0.0,No,160,2686,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8846153846153846
2064,30333,Word,null,null,Word,null,null,Stayed The Same,False,False,False,False,No Change,Male,25,2,2022,Grade 4,14.0,No,No,Yes,1.0,No,163,2491,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8611111111111112
2065,30315,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Female,25,2,2022,Grade 3,18.0,No,No,Yes,1.0,No,163,2491,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8857142857142857
2066,30299,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Female,25,2,2022,Grade 3,15.0,No,No,Yes,1.0,No,163,2491,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8055555555555556
2067,30316,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 3,17.0,No,No,Yes,0.0,No,163,2491,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.5428571428571428
2068,30308,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Female,25,2,2022,Grade 3,17.0,No,No,Yes,1.0,No,163,2490,True,True,True,False,True,2.0,2022-PPL-Literacy-CuC Cycle 1,0.5714285714285714
2069,31736,Word,null,null,Word,null,null,Stayed The Same,False,False,False,False,No Change,Male,25,2,2022,Grade 4,13.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8857142857142857
2070,31710,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 4,13.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9142857142857143
2071,31715,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Female,25,2,2022,Grade 4,11.0,No,No,Yes,3.0,No,217,3076,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2072,34201,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,14.0,No,No,Yes,2.0,No,232,2763,True,False,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8409090909090909
2073,34201,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,14.0,No,No,Yes,2.0,No,232,2765,True,False,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8409090909090909
2074,34201,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,14.0,No,No,Yes,2.0,No,232,2766,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8409090909090909
2075,34450,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Female,25,2,2022,Grade 4,13.0,No,No,Yes,3.0,No,229,3093,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.95
2076,30064,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 3,12.0,No,No,Yes,1.0,No,160,2478,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8333333333333334
2077,29977,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 3,14.0,No,No,Yes,1.0,No,159,2475,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.972972972972973
2078,29957,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Female,25,2,2022,Grade 4,16.0,No,No,Yes,1.0,No,159,2475,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.918918918918919
2079,30019,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Female,25,2,2022,Grade 1,12.0,No,No,Yes,1.0,No,159,2475,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9444444444444444
2080,29946,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Male,25,2,2022,Grade 1,13.0,No,No,Yes,1.0,No,159,2475,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9722222222222222
2081,29159,Letter,Letter,null,Word,Stayed The Same,null,Increase,False,False,False,False,Increase 1 Level,Male,25,2,2022,Grade 4,15.0,Yes,No,Yes,3.0,No,152,2424,True,False,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9
2082,29954,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Female,25,2,2022,Grade 2,13.0,No,No,Yes,1.0,No,159,2475,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8918918918918919
2083,34261,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Female,25,2,2022,Grade 4,13.0,No,No,Yes,1.0,No,232,2766,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9069767441860465
2084,36319,Beginner,null,null,Word,null,null,Increase,False,False,False,False,Increase 2 Levels,Female,25,2,2022,Grade 5,13.0,No,No,Yes,2.0,No,239,2761,True,True,False,True,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.84
2085,29968,Letter,null,null,Word,null,null,Increase,False,False,False,False,Increase 1 Level,Female,25,2,2022,Grade 3,16.0,No,No,Yes,1.0,No,159,2475,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9210526315789473
