AcademicYearId,SchoolId,ClassId,ChildrenId,CommunicationIssue,MemoryConcentration,Hearing,Vision,Selfcare,Walking/Climbing,IsElectricityAvailable?,IsRadioTVAvailable?,IsTelephoneAvailable?,ChildrenGrade,ChildrenAge,ChildrenGender,OOSC_Child,HasTelevision,IsBikeAvailable?,IsOx-cartAvailable?,HasMotorcycle,self_esteem_life_skills,SELMatrix_Get_along_with_people,SELMatrix_Educations_is_important,SELMatrix_Behave_in_different_situations,SELMatrix_Parents_caregiver_take_care,SELMatrix_Parents_caregiver_know_a_lot_about_me,SELMatrix_Hungry,SELMatrix_People_like_to_spend_time_with_me,SELMatrix_Talk_to_family_when_feelings,SELMatrix_Friends_support,SELMatrix_Get_along_at_school,SELMatrix_Parents_caregiver_care_to_me,SELMatrix_Friends_care_about_me,SELMatrix_Treat_fairly_at_community,SELMatrix_Chance_to_show_the_growth,SELMatrix_Feel_safe_with_family,SELMatrix_Chance_to_learn,SELMatrix_likely_to_celebrate,menustral_cycle,menustral_cloth,menustral_normal,menustral_bathing,menustral_age,menustral_frequency,student_identity_type,PrimaryCareGiver,BirthOrder,HomeLanguage,Year,sel_total,skills_abilities,compare_others,life_goal
13,133,37.0,22702,Some difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,No difficulty,,,,0,11.0,1,Never went to school,,,,,10.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,Mother,4,Hausa,2024,28.0,Low confidence,Occasionally,Yes
13,117,42.0,33937,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,4,12.0,0,,,,,,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,,Mother,5,Hausa,2024,51.0,High confidence,Never,Yes
13,123,33.0,19463,Some difficulty,No difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,4,11.0,1,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,4,Hausa,2024,45.0,Neutral,Occasionally,No
13,123,33.0,19490,Some difficulty,No difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,4,10.0,0,,,,,,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,2,Hausa,2024,43.0,Neutral,Occasionally,Yes
13,123,33.0,19493,don't_know,No difficulty,No difficulty,Some difficulty,Some difficulty,No difficulty,,,,4,11.0,0,,,,,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,,Father,4,Hausa,2024,47.0,Neutral,Occasionally,Yes
13,116,30.0,32086,Some difficulty,No difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,0,11.0,0,4-6 months ago,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,3,Hausa,2024,34.0,Low confidence,Never,No
13,122,44.0,32595,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,9.0,1,1-3 months ago,,,,,6.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,,Father,6,Hausa,2024,41.0,High confidence,Never,Yes
13,130,43.0,24047,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,9.0,1,1-3 months ago,,,,,6.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,,Father,6,Hausa,2024,41.0,High confidence,Never,Yes
13,130,43.0,30187,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,13.0,0,1-3 months ago,,,,,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,,Father,3,Hausa,2024,51.0,Low confidence,Never,No
13,123,33.0,33614,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,10.0,0,7-9 months ago,,,,,5.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,3,Hausa,2024,29.0,Low confidence,Never,Yes
